Row,Type,Size,Charge,Mass,m/z,RT
N_Cluster_0001,2D PEAK CLUSTER,2,2,339.955191800,168.970319433,4.38006743505
N_Cluster_0002,2D PEAK CLUSTER,2,2,339.952687786,168.969067426,7.57296195964
N_Cluster_0003,2D PEAK CLUSTER,2,2,339.952355538,168.968901302,8.72469265846
N_Cluster_0004,2D PEAK CLUSTER,2,2,489.987229329,243.986338198,5.85504176753
N_Cluster_0005,2D PEAK CLUSTER,2,2,489.988601169,243.987024117,6.37087597685
N_Cluster_0006,2D PEAK CLUSTER,2,2,489.989092786,243.987269926,7.91446926015
N_Cluster_0007,2D PEAK CLUSTER,2,2,489.986441533,243.985944299,9.49065873245
N_Cluster_0008,2D PEAK CLUSTER,2,2,491.982566776,244.984006921,6.74647701581
N_Cluster_0009,2D PEAK CLUSTER,2,2,498.174681991,248.080064528,7.54393058063
N_Cluster_0010,2D PEAK CLUSTER,2,2,498.174071447,248.079759257,8.71216258498
N_Cluster_0011,2D PEAK CLUSTER,2,2,498.174745623,248.080096345,8.84334746626
N_Cluster_0012,2D PEAK CLUSTER,2,2,537.855732514,267.920589790,1.07196452827
N_Cluster_0013,2D PEAK CLUSTER,2,2,566.155064041,282.070255554,11.8592309495
N_Cluster_0014,2D PEAK CLUSTER,2,2,566.155024115,282.070235591,10.7088142733
N_Cluster_0015,2D PEAK CLUSTER,2,2,566.155166017,282.070306542,10.9449192573
N_Cluster_0016,2D PEAK CLUSTER,2,2,566.155149588,282.070298327,11.1020576142
N_Cluster_0017,2D PEAK CLUSTER,2,2,568.150594169,283.068020618,11.8599896868
N_Cluster_0018,2D PEAK CLUSTER,2,2,568.152710839,283.069078953,11.1028392912
N_Cluster_0019,2D PEAK CLUSTER,2,2,568.151107846,283.068277456,11.2189601547
N_Cluster_0020,2D PEAK CLUSTER,2,2,570.146828594,284.066137830,11.8679206624
N_Cluster_0021,2D PEAK CLUSTER,2,2,592.016721009,295.001084038,4.13338500301
N_Cluster_0022,2D PEAK CLUSTER,2,2,594.186169789,296.085808428,11.8773950672
N_Cluster_0023,2D PEAK CLUSTER,2,2,596.087483114,297.036465090,3.87668352110
N_Cluster_0024,2D PEAK CLUSTER,2,2,596.182784406,297.084115736,11.8750688011
N_Cluster_0025,2D PEAK CLUSTER,2,2,597.091542780,297.538494923,4.52108469455
N_Cluster_0026,2D PEAK CLUSTER,2,2,598.179485401,298.082466234,11.8729565055
N_Cluster_0027,2D PEAK CLUSTER,2,2,598.180491534,298.082969300,12.2444802531
N_Cluster_0028,2D PEAK CLUSTER,2,2,602.131378723,300.058412895,11.8622065731
N_Cluster_0029,2D PEAK CLUSTER,2,2,610.153503314,304.069475190,3.95311925466
N_Cluster_0030,2D PEAK CLUSTER,2,2,610.153094482,304.069270774,3.43574147106
N_Cluster_0031,2D PEAK CLUSTER,2,2,610.153819069,304.069633068,3.71402637859
N_Cluster_0032,2D PEAK CLUSTER,2,2,657.162354814,327.573900940,4.00958244643
N_Cluster_0033,2D PEAK CLUSTER,2,2,742.196381157,370.090914111,3.57378304755
N_Cluster_0034,2D PEAK CLUSTER,2,2,750.159174504,374.072310785,4.55553511506
N_Cluster_0035,2D PEAK CLUSTER,2,2,755.075693591,376.530570329,3.95046095695
N_Cluster_0036,2D PEAK CLUSTER,2,2,756.190750030,377.088098548,4.74089660018
N_Cluster_0037,2D PEAK CLUSTER,3,2,756.211886325,377.098666696,3.53325521541
N_Cluster_0038,2D PEAK CLUSTER,2,2,761.101195052,379.543321059,3.69203546206
N_Cluster_0039,2D PEAK CLUSTER,3,2,772.207426141,385.096436604,3.43712415217
N_Cluster_0040,2D PEAK CLUSTER,2,2,782.249849248,390.117648157,9.83429044064
N_Cluster_0041,2D PEAK CLUSTER,2,2,782.249527091,390.117487079,9.57551621589
N_Cluster_0042,2D PEAK CLUSTER,2,2,802.218095274,400.101771170,3.53858776005
N_Cluster_0043,2D PEAK CLUSTER,2,2,818.212776851,408.099111959,3.43532462850
N_Cluster_0044,2D PEAK CLUSTER,2,2,818.213879333,408.099663199,3.66348485876
N_Cluster_0045,2D PEAK CLUSTER,2,2,820.066236032,409.025841549,6.55342711882
N_Cluster_0046,2D PEAK CLUSTER,2,2,835.289763692,416.637605379,8.96960377522
N_Cluster_0047,2D PEAK CLUSTER,2,2,854.270922686,426.128184876,9.44560423277
N_Cluster_0048,2D PEAK CLUSTER,2,2,854.271036869,426.128241968,9.61707157039
N_Cluster_0049,2D PEAK CLUSTER,2,2,857.823702428,427.904574747,2.35435498533
N_Cluster_0050,2D PEAK CLUSTER,2,2,886.363774595,442.174610831,6.34014729612
N_Cluster_0051,2D PEAK CLUSTER,2,2,894.186960048,446.086203557,3.84074189069
N_Cluster_0052,2D PEAK CLUSTER,2,2,902.359057203,450.172252135,6.25200585192
N_Cluster_0053,2D PEAK CLUSTER,2,2,929.469572864,463.727509965,2.71022344183
N_Cluster_0054,2D PEAK CLUSTER,2,2,932.253278263,465.119362665,3.86087689192
N_Cluster_0055,2D PEAK CLUSTER,2,2,932.283534745,465.134490905,9.84368188753
N_Cluster_0056,2D PEAK CLUSTER,2,2,934.265627221,466.125537144,3.40843072237
N_Cluster_0057,2D PEAK CLUSTER,2,2,949.198329021,473.591888044,1.31259354286
N_Cluster_0058,2D PEAK CLUSTER,3,2,950.118230833,474.051838950,4.15000819388
N_Cluster_0059,2D PEAK CLUSTER,2,2,960.302336345,479.143891706,3.52837218666
N_Cluster_0060,2D PEAK CLUSTER,2,2,1011.76621572,504.875831393,9.91169012481
N_Cluster_0061,2D PEAK CLUSTER,2,2,1014.12117198,506.053309522,6.81109179900
N_Cluster_0062,2D PEAK CLUSTER,3,2,1016.13426195,507.059854506,6.47599722267
N_Cluster_0063,2D PEAK CLUSTER,2,2,1016.13547519,507.060461130,6.61694155090
N_Cluster_0064,2D PEAK CLUSTER,2,2,1016.32352702,507.154487044,8.62755870224
N_Cluster_0065,2D PEAK CLUSTER,2,2,1016.32347449,507.154460780,8.82207242125
N_Cluster_0066,2D PEAK CLUSTER,2,2,1017.23518930,507.610318183,5.52790242853
N_Cluster_0067,2D PEAK CLUSTER,2,2,1018.24535394,508.115400503,5.28770485364
N_Cluster_0068,2D PEAK CLUSTER,2,2,1022.32934019,510.157393630,4.93024628817
N_Cluster_0069,2D PEAK CLUSTER,2,2,1026.22815236,512.106799713,3.72157672282
N_Cluster_0070,2D PEAK CLUSTER,2,2,1030.15181213,514.068629596,7.17083118821
N_Cluster_0071,2D PEAK CLUSTER,2,2,1040.24388368,519.114665376,3.71162747330
N_Cluster_0072,2D PEAK CLUSTER,2,2,1040.24086990,519.113158484,3.85245692588
N_Cluster_0073,2D PEAK CLUSTER,2,2,1048.39351079,523.189478929,6.64996857605
N_Cluster_0074,2D PEAK CLUSTER,2,2,1056.23620833,527.110827697,3.78523574713
N_Cluster_0075,2D PEAK CLUSTER,3,2,1072.21590266,535.100674864,3.70438042045
N_Cluster_0076,2D PEAK CLUSTER,2,2,1075.23452157,536.609984319,3.72125339123
N_Cluster_0077,2D PEAK CLUSTER,2,2,1080.47457060,539.230008833,2.81352425756
N_Cluster_0078,2D PEAK CLUSTER,3,2,1088.20981689,543.097631980,3.65731945876
N_Cluster_0079,2D PEAK CLUSTER,2,2,1113.44309535,555.714271209,7.78016079152
N_Cluster_0080,2D PEAK CLUSTER,2,2,1122.36133309,560.173390076,4.93463939637
N_Cluster_0081,2D PEAK CLUSTER,2,2,1122.36033068,560.172888875,5.38140573079
N_Cluster_0082,2D PEAK CLUSTER,2,2,1122.36021919,560.172833126,5.51176838045
N_Cluster_0083,2D PEAK CLUSTER,2,2,1138.35621001,568.170828538,4.69345812171
N_Cluster_0084,2D PEAK CLUSTER,2,2,1146.29035841,572.137902738,4.83094302891
N_Cluster_0085,2D PEAK CLUSTER,2,2,1157.25358099,577.619514027,2.66372515297
N_Cluster_0086,2D PEAK CLUSTER,3,2,1175.58272017,586.784083616,4.40637728793
N_Cluster_0087,2D PEAK CLUSTER,2,2,1175.68954247,586.837494770,11.6521005061
N_Cluster_0088,2D PEAK CLUSTER,2,2,1184.37995741,591.182702240,4.55627474369
N_Cluster_0089,2D PEAK CLUSTER,2,2,1185.38319715,591.684322109,4.69801840946
N_Cluster_0090,2D PEAK CLUSTER,2,2,1186.30268722,592.144067141,3.61479640917
N_Cluster_0091,2D PEAK CLUSTER,2,2,1193.34418271,595.664814889,2.59582105960
N_Cluster_0092,2D PEAK CLUSTER,2,2,1197.72232895,597.853888010,1.07292394380
N_Cluster_0093,2D PEAK CLUSTER,2,2,1198.38500383,598.185225449,1.33651578488
N_Cluster_0094,2D PEAK CLUSTER,2,2,1198.38681549,598.186131278,1.70113283241
N_Cluster_0095,2D PEAK CLUSTER,2,2,1202.27833368,600.131890374,4.19800462523
N_Cluster_0096,2D PEAK CLUSTER,2,2,1202.27520572,600.130326396,4.67478377551
N_Cluster_0097,2D PEAK CLUSTER,2,2,1202.29796002,600.141703541,3.55469567383
N_Cluster_0098,2D PEAK CLUSTER,2,2,1202.31012360,600.147785331,3.77480532382
N_Cluster_0099,2D PEAK CLUSTER,2,2,1206.84378078,602.414613921,11.4844562538
N_Cluster_0100,2D PEAK CLUSTER,2,2,1210.29978231,604.142614690,4.06114748997
